State,"Cyber Blackmailing / Threatening / Harassment
",Fake Profile,"Cyber Pornography / Hosting or Publishing Obscene Sexual Materials depicting children
","Cyber Stalking / Bullying
","Internet Crimes through Online Games etc
",Other Cyber Crimes against Children,Total Cyber crimes against Children,,,,
Maharashtra,1,0,123,69,0,14,207,,,,
Uttar Pradesh,0,0,161,14,0,22,197,,,,
Karnataka,0,0,122,0,0,22,144,,,,
Kerala,0,0,101,3,0,22,126,,,,
Odisha,0,0,71,0,0,0,71,,,,
Andhra Pradesh,1,0,15,32,0,4,52,,,,
Assam,0,0,21,0,0,24,45,,,,
Madhya Pradesh,0,0,20,6,0,13,39,,,,
Tamil Nadu,0,0,28,0,0,7,35,,,,
Haryana,0,0,16,2,0,15,33,,,,
Gujarat,0,0,1,4,0,27,32,,,,
Rajasthan,0,0,6,1,0,17,24,,,,
Chhattisgarh,0,1,3,3,0,14,21,,,,
Himachal Pradesh,0,0,17,0,0,2,19,,,,
Uttarakhand,0,0,11,0,0,0,11,,,,
Punjab,0,0,8,0,0,2,10,,,,
Telangana,1,0,7,1,0,0,9,,,,
West Bengal,0,0,0,2,0,4,6,,,,
Delhi,0,0,1,3,0,1,5,,,,
Jharkhand,0,0,0,0,0,4,4,,,,u
Goa,0,0,0,0,0,3,3,,,,
Manipur,0,0,3,0,0,0,3,,,,
Chandigarh,0,0,1,0,0,2,3,,,,
Bihar,0,0,1,0,0,0,1,,,,
A&N Islands,0,0,1,0,0,0,1,,,,
Jammu & Kashmir,0,0,0,0,0,1,1,,,,
Arunachal Pradesh,0,0,0,0,0,0,0,,,,
Meghalaya,0,0,0,0,0,0,0,,,,
Mizoram,0,0,0,0,0,0,0,,,,
Nagaland,0,0,0,0,0,0,0,,,,
Sikkim,0,0,0,0,0,0,0,,,,
Tripura,0,0,0,0,0,0,0,,,,
"D&N Haveli and
Daman & Diu",0,0,0,0,0,0,0,,,,
Ladakh,0,0,0,0,0,0,0,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,
Puducherry,0,0,0,0,0,0,0,,,,
