State,Region,"Personal
Revenge",Anger,Fraud,Extortion,"Causing
Disrepute",Prank,"Sexual
Exploitation","Political
Motives","Terrorist
Activities
(Total)","Terrorist
Recruitment","Terrorist
Funding",Others,"Inciting
Hate
against
Country","Disrupt
Public
Service","Sale
Purchase
illegal
drugs","Developing
own
business","Spreading
Piracy","Psycho or
Pervert",Steal Information,"Abetment to
Suicide",Others2,Total
Uttar Pradesh,Northern,78,210,4674,1055,547,87,560,73,96,0,0,96,82,35,0,76,36,0,5,0,3483,11097
Karnataka,Southern,147,13,9680,74,368,0,191,18,0,0,0,0,3,1,2,17,4,0,0,0,223,10741
Maharashtra,Western,36,105,3413,45,76,32,612,9,0,0,0,0,3,2,0,14,0,0,0,0,1149,5496
Telangana,Southern,96,24,4436,115,3,0,85,8,0,0,0,0,0,1,0,0,0,0,0,0,256,5024
Assam,Northeastern,654,164,242,447,85,35,483,24,0,0,0,0,58,12,0,3,0,0,0,0,1323,3530
Odisha,Eastern,1,33,1380,175,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1931
Andhra Pradesh,Southern,83,39,1149,56,15,2,169,67,0,0,0,0,0,2,0,42,0,0,4,0,271,1899
Bihar,Eastern,84,34,1218,102,19,12,32,7,0,0,0,0,0,1,0,3,0,0,0,0,0,1512
Rajasthan,Northern,22,10,641,42,73,11,67,4,0,0,0,0,4,0,0,17,0,0,0,0,463,1354
Gujarat,Western,6,31,875,26,203,43,37,3,0,0,0,0,6,8,2,5,4,0,0,0,34,1283
Jharkhand,Eastern,4,4,1069,14,2,0,13,0,7,7,0,0,0,7,13,0,0,0,49,0,22,1204
Tamil Nadu,Southern,83,57,134,112,43,7,192,108,0,0,0,0,0,16,0,0,19,0,0,0,11,782
West Bengal,Eastern,66,8,72,12,3,3,44,1,0,0,0,0,0,0,0,1,0,0,0,0,502,712
Madhya Pradesh,Central,7,6,292,13,66,2,119,3,0,0,0,0,0,0,0,7,0,0,0,0,184,699
Haryana,Northern,14,3,157,17,9,1,70,1,0,0,0,0,0,2,0,8,6,0,0,0,368,656
Kerala,Southern,44,34,96,21,58,10,138,10,0,0,0,0,0,0,0,0,1,0,0,0,14,426
Punjab,Northern,4,19,164,29,19,3,58,2,0,0,0,0,7,2,0,1,3,0,0,0,67,378
Chhattisgarh,Central,0,1,75,7,41,0,35,0,2,0,0,2,0,0,0,1,0,0,0,0,135,297
Uttarakhand,Northern,11,5,98,33,6,0,44,1,0,0,0,0,0,0,4,2,0,0,0,0,39,243
Delhi,Northern,2,4,23,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,104,168
Meghalaya,Northeastern,6,10,81,7,9,0,9,1,1,0,0,1,0,0,0,0,0,0,1,0,17,142
Jammu & Kashmir,Northern,3,4,33,9,28,2,12,1,4,0,0,4,2,1,0,7,0,0,0,0,14,120
Himachal Pradesh,Northern,2,1,19,9,15,0,34,3,0,0,0,0,0,1,0,6,1,0,1,0,6,98
Manipur,Northeastern,0,2,40,0,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,14,79
Goa,Western,0,0,25,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
Tripura,Northeastern,14,1,11,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,34
Arunachal Pradesh,Northeastern,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,30
Chandigarh,Northern,0,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
Mizoram,Northeastern,0,0,3,0,2,3,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,13
Puducherry,Southern,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Nagaland,Northeastern,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
A&N Islands,Bay of Bengal,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"D&N Haveli and Daman
& Diu",Western,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Lakshadweep,Arabian Sea,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Ladakh,Northern,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Sikkim,Northeastern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
