State,2018,2019,2020,Mid-Year Projected Population (in Lakhs),Rate of Total Cyber Crimes (2020),Chargesheeting Rate (2020)
Karnataka,5839,12020,10741,665,16.2,72.9
Telangana,1205,2691,5024,375.4,13.4,42.5
Assam,2022,2231,3530,347.9,10.1,19.4
Uttar Pradesh,6280,11416,11097,2289.3,4.8,49.9
Maharashtra,3511,4967,5496,1236.8,4.4,27.1
Meghalaya,74,89,142,32.6,4.4,1.4
Lakshadweep,4,4,3,0.7,4.4,0
Odisha,843,1485,1931,454.7,4.2,33.5
Andhra Pradesh,1207,1886,1899,526,3.6,40.1
Jharkhand,930,1095,1204,381.2,3.2,53
Goa,29,15,40,15.5,2.6,50
Manipur,29,4,79,31.4,2.5,0
Haryana,418,564,656,292.1,2.2,49.6
Uttarakhand,171,100,243,113.1,2.1,63
Arunachal Pradesh,7,8,30,15.2,2,33.3
Gujarat,702,784,1283,691.7,1.9,47.1
Rajasthan,1104,1762,1354,786.1,1.7,26.8
Chandigarh,30,23,17,12,1.4,30
Himachal Pradesh,69,76,98,73.6,1.3,41.9
Punjab,239,243,378,301.8,1.3,62.4
A&N Islands,7,2,5,4,1.3,62.5
Bihar,374,1050,1512,1219,1.2,65
Kerala,340,307,426,353.7,1.2,70.6
Mizoram,6,8,13,12.1,1.1,57.1
Chhattisgarh,139,175,297,292.4,1,87.4
Tamil Nadu,295,385,782,761.7,1,53.1
Jammu & Kashmir,0,0,120,133.4,0.9,42.4
Madhya Pradesh,740,602,699,837.6,0.8,85.6
Tripura,20,20,34,40.4,0.8,26.3
Delhi,189,115,168,203.2,0.8,66.3
West Bengal,335,524,712,977.2,0.7,45.9
Puducherry,14,4,10,15.5,0.6,100
Nagaland,2,2,8,21.8,0.4,0
"D&N Haveli and
Daman & Diu",0,0,3,10.4,0.3,100
Ladakh,0,0,1,3,0.3,0
Sikkim,1,2,0,6.7,0,0
