State,Total Cyber Crimes against Women,Total Cyber crimes against Children,Vulnerable_Population_Index
Karnataka,2859,144,3003
Maharashtra,1632,207,1839
Assam,1071,45,1116
Uttar Pradesh,749,197,946
Telangana,649,9,658
Odisha,560,71,631
Andhra Pradesh,375,52,427
West Bengal,344,6,350
Tamil Nadu,306,35,341
Gujarat,277,32,309
Madhya Pradesh,274,39,313
Kerala,246,126,372
Rajasthan,238,24,262
Haryana,222,33,255
Chhattisgarh,117,21,138
Punjab,110,10,120
Uttarakhand,72,11,83
Himachal Pradesh,52,19,71
Delhi,51,5,56
Bihar,47,1,48
Meghalaya,39,0,39
Manipur,26,3,29
Jammu & Kashmir,25,1,26
Jharkhand,20,4,24
Goa,19,3,22
Chandigarh,10,3,13
Tripura,3,0,3
A&N Islands,3,1,4
"D&N Haveli and
Daman & Diu",3,0,3
Nagaland,2,0,2
Lakshadweep,2,0,2
Arunachal Pradesh,1,0,1
Mizoram,1,0,1
Sikkim,0,0,0
Ladakh,0,0,0
Puducherry,0,0,0
